Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':7, 3.1808
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':7, 2.56452
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':1, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':2, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':3, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':4, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':5, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':6, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':7, 0.44092349506
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':1, 0.0
