GENERATION_PROJECT	build_year	gen_predetermined_cap
80575	1998	320.0
80574	1998	320.0
80573	2011	680.0
80572	2010	680.0
80559	1987	330.0
80558	1990	330.0
80557	2011	350.0
80556	2011	350.0
80551	1999	350.0
80550	2008	680.0
80549	2008	680.0
80548	2000	350.0
80474	1991	330.0
80473	1991	320.0
80472	1993	300.0
80471	1994	320.0
80470	2002	700.0
80469	2002	700.0
80456	2006	330.0
80455	2006	330.0
80447	1994	330.0
80446	1993	330.0
80445	2007	670.0
80444	2006	670.0
80439	2006	315.0
80438	2006	315.0
80433	1985	335.0
80432	1986	335.0
80431	1989	335.0
80430	1988	335.0
80429	2007	1000.0
80428	2006	1000.0
80427	1997	600.0
80426	1997	600.0
80425	1996	330.0
80424	1997	330.0
80423	1999	300.0
80422	2003	300.0
80421	2002	300.0
80420	1995	300.0
80419	1996	300.0
80418	2006	300.0
80417	2005	300.0
80320	1987	315.0
80319	1997	315.0
80318	1997	315.0
80317	1988	315.0
80316	2007	330.0
80315	2007	330.0
80312	2006	330.0
80311	2006	330.0
80299	2003	600.0
80298	2002	600.0
80297	2009	600.0
80296	2009	600.0
80277	2008	330.0
80276	2008	330.0
80275	2000	300.0
80274	2006	330.0
80273	2006	330.0
80272	2001	300.0
80271	2002	300.0
80249	2007	650.0
80248	2007	650.0
80175	2006	660.0
80174	2007	660.0
81479	1981	82.78298378
81444	2004	2370.000839
81432	1992	1041.527748
81423	1983	244.6651459
81422	1982	186.8972778
81424	1984	190.2952194
81421	1981	140.1731968
60036	2014	1175.0
60035	2014	1175.0
81450	2010	479.9998474
81449	2009	1070.000305
81447	2007	449.9978638
81446	2006	6220.001373
81445	2005	4179.999542
81443	2003	2243.932343
81442	2002	1278.517151
81441	2001	3237.549973
81440	2000	399.9992371
81439	1999	400.0011444
81438	1998	854.3294525
81482	1984	112.3840809
81501	2003	973.5469818
81497	1999	619.9998856
81496	1998	882.5178146
81495	1997	673.8033295
81494	1996	798.7298965
81493	1995	712.4357224
81492	1994	582.9939842
81491	1993	565.4330254
81508	2010	999.9969482
81507	2009	450.0015259
81506	2008	2499.999237
