GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om	gen_storage_energy_overnight_cost
106	2026	1500000.0	7500.0	.
106	2031	1500000.0	7500.0	.
106	2036	1500000.0	7500.0	.
107	2016	1665685.4	8328.4	.
107	2021	1500000.0	7500.0	.
107	2026	1500000.0	7500.0	.
107	2031	1500000.0	7500.0	.
107	2036	1500000.0	7500.0	.
108	2016	1665685.4	8328.4	.
108	2021	1500000.0	7500.0	.
108	2026	1500000.0	7500.0	.
108	2031	1500000.0	7500.0	.
108	2036	1500000.0	7500.0	.
109	2016	1665685.4	8328.4	.
109	2021	1500000.0	7500.0	.
109	2026	1500000.0	7500.0	.
109	2031	1500000.0	7500.0	.
109	2036	1500000.0	7500.0	.
110	2016	1665685.4	8328.4	.
110	2021	1500000.0	7500.0	.
110	2026	1500000.0	7500.0	.
110	2031	1500000.0	7500.0	.
110	2036	1500000.0	7500.0	.
111	2016	1665685.4	8328.4	.
111	2021	1500000.0	7500.0	.
111	2026	1500000.0	7500.0	.
111	2031	1500000.0	7500.0	.
111	2036	1500000.0	7500.0	.
112	2016	1665685.4	8328.4	.
112	2021	1500000.0	7500.0	.
112	2026	1500000.0	7500.0	.
112	2031	1500000.0	7500.0	.
112	2036	1500000.0	7500.0	.
113	2016	1665685.4	8328.4	.
113	2021	1500000.0	7500.0	.
113	2026	1500000.0	7500.0	.
113	2031	1500000.0	7500.0	.
113	2036	1500000.0	7500.0	.
114	2016	1665685.4	8328.4	.
114	2021	1500000.0	7500.0	.
114	2026	1500000.0	7500.0	.
114	2031	1500000.0	7500.0	.
114	2036	1500000.0	7500.0	.
115	2016	1665685.4	8328.4	.
115	2021	1500000.0	7500.0	.
115	2026	1500000.0	7500.0	.
115	2031	1500000.0	7500.0	.
115	2036	1500000.0	7500.0	.
116	2016	1665685.4	8328.4	.
116	2021	1500000.0	7500.0	.
116	2026	1500000.0	7500.0	.
116	2031	1500000.0	7500.0	.
116	2036	1500000.0	7500.0	.
117	2016	1665685.4	8328.4	.
117	2021	1500000.0	7500.0	.
117	2026	1500000.0	7500.0	.
117	2031	1500000.0	7500.0	.
117	2036	1500000.0	7500.0	.
118	2016	1665685.4	8328.4	.
118	2021	1500000.0	7500.0	.
118	2026	1500000.0	7500.0	.
118	2031	1500000.0	7500.0	.
118	2036	1500000.0	7500.0	.
119	2016	1665685.4	8328.4	.
119	2021	1500000.0	7500.0	.
119	2026	1500000.0	7500.0	.
119	2031	1500000.0	7500.0	.
119	2036	1500000.0	7500.0	.
120	2016	1665685.4	8328.4	.
120	2021	1500000.0	7500.0	.
120	2026	1500000.0	7500.0	.
120	2031	1500000.0	7500.0	.
120	2036	1500000.0	7500.0	.
121	2016	1665685.4	8328.4	.
121	2021	1500000.0	7500.0	.
121	2026	1500000.0	7500.0	.
121	2031	1500000.0	7500.0	.
121	2036	1500000.0	7500.0	.
122	2016	1665685.4	8328.4	.
122	2021	1500000.0	7500.0	.
122	2026	1500000.0	7500.0	.
122	2031	1500000.0	7500.0	.
122	2036	1500000.0	7500.0	.
123	2016	1665685.4	8328.4	.
123	2021	1500000.0	7500.0	.
123	2026	1500000.0	7500.0	.
123	2031	1500000.0	7500.0	.
123	2036	1500000.0	7500.0	.
124	2016	1665685.4	8328.4	.
124	2021	1500000.0	7500.0	.
124	2026	1500000.0	7500.0	.
124	2031	1500000.0	7500.0	.
124	2036	1500000.0	7500.0	.
125	2016	1665685.4	8328.4	.
125	2021	1500000.0	7500.0	.
125	2026	1500000.0	7500.0	.
125	2031	1500000.0	7500.0	.
125	2036	1500000.0	7500.0	.
126	2016	1665685.4	8328.4	.
126	2021	1500000.0	7500.0	.
126	2026	1500000.0	7500.0	.
126	2031	1500000.0	7500.0	.
126	2036	1500000.0	7500.0	.
127	2016	1665685.4	8328.4	.
127	2021	1500000.0	7500.0	.
127	2026	1500000.0	7500.0	.
127	2031	1500000.0	7500.0	.
127	2036	1500000.0	7500.0	.
128	2016	1665685.4	8328.4	.
128	2021	1500000.0	7500.0	.
128	2026	1500000.0	7500.0	.
128	2031	1500000.0	7500.0	.
128	2036	1500000.0	7500.0	.
129	2016	1665685.4	8328.4	.
129	2021	1500000.0	7500.0	.
129	2026	1500000.0	7500.0	.
129	2031	1500000.0	7500.0	.
129	2036	1500000.0	7500.0	.
130	2016	1665685.4	8328.4	.
130	2021	1500000.0	7500.0	.
130	2026	1500000.0	7500.0	.
130	2031	1500000.0	7500.0	.
130	2036	1500000.0	7500.0	.
131	2016	1665685.4	8328.4	.
131	2021	1500000.0	7500.0	.
131	2026	1500000.0	7500.0	.
131	2031	1500000.0	7500.0	.
131	2036	1500000.0	7500.0	.
132	2016	1665685.4	8328.4	.
132	2021	1500000.0	7500.0	.
132	2026	1500000.0	7500.0	.
132	2031	1500000.0	7500.0	.
132	2036	1500000.0	7500.0	.
133	2016	1665685.4	8328.4	.
133	2021	1500000.0	7500.0	.
133	2026	1500000.0	7500.0	.
133	2031	1500000.0	7500.0	.
133	2036	1500000.0	7500.0	.
134	2016	1665685.4	8328.4	.
134	2021	1500000.0	7500.0	.
134	2026	1500000.0	7500.0	.
134	2031	1500000.0	7500.0	.
134	2036	1500000.0	7500.0	.
135	2016	1665685.4	8328.4	.
135	2021	1500000.0	7500.0	.
135	2026	1500000.0	7500.0	.
135	2031	1500000.0	7500.0	.
135	2036	1500000.0	7500.0	.
136	2016	1665685.4	8328.4	.
136	2021	1500000.0	7500.0	.
136	2026	1500000.0	7500.0	.
136	2031	1500000.0	7500.0	.
136	2036	1500000.0	7500.0	.
137	2016	1665685.4	8328.4	.
137	2021	1500000.0	7500.0	.
137	2026	1500000.0	7500.0	.
137	2031	1500000.0	7500.0	.
137	2036	1500000.0	7500.0	.
138	2016	1665685.4	8328.4	.
138	2021	1500000.0	7500.0	.
138	2026	1500000.0	7500.0	.
138	2031	1500000.0	7500.0	.
138	2036	1500000.0	7500.0	.
139	2016	1665685.4	8328.4	.
139	2021	1500000.0	7500.0	.
139	2026	1500000.0	7500.0	.
139	2031	1500000.0	7500.0	.
139	2036	1500000.0	7500.0	.
140	2016	1665685.4	8328.4	.
140	2021	1500000.0	7500.0	.
140	2026	1500000.0	7500.0	.
140	2031	1500000.0	7500.0	.
140	2036	1500000.0	7500.0	.
141	2016	1665685.4	8328.4	.
141	2021	1500000.0	7500.0	.
141	2026	1500000.0	7500.0	.
141	2031	1500000.0	7500.0	.
141	2036	1500000.0	7500.0	.
142	2016	1665685.4	8328.4	.
142	2021	1500000.0	7500.0	.
142	2026	1500000.0	7500.0	.
142	2031	1500000.0	7500.0	.
142	2036	1500000.0	7500.0	.
143	2016	1665685.4	8328.4	.
143	2021	1500000.0	7500.0	.
143	2026	1500000.0	7500.0	.
143	2031	1500000.0	7500.0	.
143	2036	1500000.0	7500.0	.
144	2016	1665685.4	8328.4	.
144	2021	1500000.0	7500.0	.
144	2026	1500000.0	7500.0	.
144	2031	1500000.0	7500.0	.
144	2036	1500000.0	7500.0	.
145	2016	1665685.4	8328.4	.
145	2021	1500000.0	7500.0	.
145	2026	1500000.0	7500.0	.
145	2031	1500000.0	7500.0	.
145	2036	1500000.0	7500.0	.
146	2016	1665685.4	8328.4	.
146	2021	1500000.0	7500.0	.
146	2026	1500000.0	7500.0	.
146	2031	1500000.0	7500.0	.
146	2036	1500000.0	7500.0	.
147	2016	1665685.4	8328.4	.
147	2021	1500000.0	7500.0	.
147	2026	1500000.0	7500.0	.
147	2031	1500000.0	7500.0	.
147	2036	1500000.0	7500.0	.
148	2016	1665685.4	8328.4	.
148	2021	1500000.0	7500.0	.
148	2026	1500000.0	7500.0	.
148	2031	1500000.0	7500.0	.
148	2036	1500000.0	7500.0	.
149	2016	1665685.4	8328.4	.
149	2021	1500000.0	7500.0	.
149	2026	1500000.0	7500.0	.
149	2031	1500000.0	7500.0	.
149	2036	1500000.0	7500.0	.
150	2016	1665685.4	8328.4	.
150	2021	1500000.0	7500.0	.
150	2026	1500000.0	7500.0	.
150	2031	1500000.0	7500.0	.
150	2036	1500000.0	7500.0	.
151	2016	1665685.4	8328.4	.
151	2021	1500000.0	7500.0	.
151	2026	1500000.0	7500.0	.
151	2031	1500000.0	7500.0	.
151	2036	1500000.0	7500.0	.
152	2016	1665685.4	8328.4	.
152	2021	1500000.0	7500.0	.
152	2026	1500000.0	7500.0	.
152	2031	1500000.0	7500.0	.
152	2036	1500000.0	7500.0	.
153	2016	1665685.4	8328.4	.
153	2021	1500000.0	7500.0	.
153	2026	1500000.0	7500.0	.
153	2031	1500000.0	7500.0	.
153	2036	1500000.0	7500.0	.
154	2016	1665685.4	8328.4	.
154	2021	1500000.0	7500.0	.
154	2026	1500000.0	7500.0	.
154	2031	1500000.0	7500.0	.
154	2036	1500000.0	7500.0	.
155	2016	1665685.4	8328.4	.
155	2021	1500000.0	7500.0	.
155	2026	1500000.0	7500.0	.
155	2031	1500000.0	7500.0	.
