load_zone	fuel	period_temp	fuel_cost
Chongqing	Coal_CCS	2036	4.5806660618
Chongqing	DistillateFuelOil	2016	18.804
Chongqing	DistillateFuelOil	2021	20.612
Chongqing	DistillateFuelOil	2026	21.892
Chongqing	DistillateFuelOil	2031	22.568
Chongqing	DistillateFuelOil	2036	24.73028897
Chongqing	DistillateFuelOil_CCS	2016	18.804
Chongqing	DistillateFuelOil_CCS	2021	20.612
Chongqing	DistillateFuelOil_CCS	2026	21.892
Chongqing	DistillateFuelOil_CCS	2031	22.568
Chongqing	DistillateFuelOil_CCS	2036	24.73028897
Chongqing	Gas	2016	13.148208292
Chongqing	Gas	2021	14.831222524
Chongqing	Gas	2026	16.525130052
Chongqing	Gas	2031	17.766965796
Chongqing	Gas	2036	18.67264782
Chongqing	Gas_CCS	2016	13.148208292
Chongqing	Gas_CCS	2021	14.831222524
Chongqing	Gas_CCS	2026	16.525130052
Chongqing	Gas_CCS	2031	17.766965796
Chongqing	Gas_CCS	2036	18.67264782
Chongqing	ResidualFuelOil	2016	14.346
Chongqing	ResidualFuelOil	2021	15.704
Chongqing	ResidualFuelOil	2026	16.756
Chongqing	ResidualFuelOil	2031	16.762
Chongqing	ResidualFuelOil	2036	18.857248678
Chongqing	ResidualFuelOil_CCS	2016	14.346
Chongqing	ResidualFuelOil_CCS	2021	15.704
Chongqing	ResidualFuelOil_CCS	2026	16.756
Chongqing	ResidualFuelOil_CCS	2031	16.762
Chongqing	ResidualFuelOil_CCS	2036	18.857248678
Chongqing	Uranium	2016	2.198
Chongqing	Uranium	2021	2.202
Chongqing	Uranium	2026	2.202
Chongqing	Uranium	2031	2.2
Chongqing	Uranium	2036	2.591611722
East_Inner_Mongolia	Bio_Solid	2016	2.028500431
East_Inner_Mongolia	Bio_Solid	2021	2.028500431
East_Inner_Mongolia	Bio_Solid	2026	2.028500431
East_Inner_Mongolia	Bio_Solid	2031	2.028500431
East_Inner_Mongolia	Bio_Solid	2036	2.028500431
East_Inner_Mongolia	Bio_Solid_CCS	2016	2.028500431
East_Inner_Mongolia	Bio_Solid_CCS	2021	2.028500431
East_Inner_Mongolia	Bio_Solid_CCS	2026	2.028500431
East_Inner_Mongolia	Bio_Solid_CCS	2031	2.028500431
East_Inner_Mongolia	Bio_Solid_CCS	2036	2.028500431
East_Inner_Mongolia	Coal	2016	2.7445374778
East_Inner_Mongolia	Coal	2021	2.8836318224
East_Inner_Mongolia	Coal	2026	3.0304536298
East_Inner_Mongolia	Coal	2031	3.1875787226
East_Inner_Mongolia	Coal	2036	3.3424346392
East_Inner_Mongolia	Coal_CCS	2016	2.7445374778
East_Inner_Mongolia	Coal_CCS	2021	2.8836318224
East_Inner_Mongolia	Coal_CCS	2026	3.0304536298
East_Inner_Mongolia	Coal_CCS	2031	3.1875787226
East_Inner_Mongolia	Coal_CCS	2036	3.3424346392
East_Inner_Mongolia	DistillateFuelOil	2016	18.804
East_Inner_Mongolia	DistillateFuelOil	2021	20.612
East_Inner_Mongolia	DistillateFuelOil	2026	21.892
East_Inner_Mongolia	DistillateFuelOil	2031	22.568
East_Inner_Mongolia	DistillateFuelOil	2036	24.73028897
East_Inner_Mongolia	DistillateFuelOil_CCS	2016	18.804
East_Inner_Mongolia	DistillateFuelOil_CCS	2021	20.612
East_Inner_Mongolia	DistillateFuelOil_CCS	2026	21.892
East_Inner_Mongolia	DistillateFuelOil_CCS	2031	22.568
East_Inner_Mongolia	DistillateFuelOil_CCS	2036	24.73028897
East_Inner_Mongolia	Gas	2016	13.148208292
East_Inner_Mongolia	Gas	2021	14.831222524
East_Inner_Mongolia	Gas	2026	16.525130052
East_Inner_Mongolia	Gas	2031	17.766965796
East_Inner_Mongolia	Gas	2036	18.67264782
East_Inner_Mongolia	Gas_CCS	2016	13.148208292
East_Inner_Mongolia	Gas_CCS	2021	14.831222524
East_Inner_Mongolia	Gas_CCS	2026	16.525130052
East_Inner_Mongolia	Gas_CCS	2031	17.766965796
East_Inner_Mongolia	Gas_CCS	2036	18.67264782
East_Inner_Mongolia	ResidualFuelOil	2016	14.346
East_Inner_Mongolia	ResidualFuelOil	2021	15.704
East_Inner_Mongolia	ResidualFuelOil	2026	16.756
East_Inner_Mongolia	ResidualFuelOil	2031	16.762
East_Inner_Mongolia	ResidualFuelOil	2036	18.857248678
East_Inner_Mongolia	ResidualFuelOil_CCS	2016	14.346
East_Inner_Mongolia	ResidualFuelOil_CCS	2021	15.704
East_Inner_Mongolia	ResidualFuelOil_CCS	2026	16.756
East_Inner_Mongolia	ResidualFuelOil_CCS	2031	16.762
East_Inner_Mongolia	ResidualFuelOil_CCS	2036	18.857248678
East_Inner_Mongolia	Uranium	2016	2.198
East_Inner_Mongolia	Uranium	2021	2.202
East_Inner_Mongolia	Uranium	2026	2.202
East_Inner_Mongolia	Uranium	2031	2.2
East_Inner_Mongolia	Uranium	2036	2.591611722
Fujian	Bio_Solid	2016	2.028500431
Fujian	Bio_Solid	2021	2.028500431
Fujian	Bio_Solid	2026	2.028500431
Fujian	Bio_Solid	2031	2.028500431
Fujian	Bio_Solid	2036	2.028500431
Fujian	Bio_Solid_CCS	2016	2.028500431
Fujian	Bio_Solid_CCS	2021	2.028500431
Fujian	Bio_Solid_CCS	2026	2.028500431
Fujian	Bio_Solid_CCS	2031	2.028500431
Fujian	Bio_Solid_CCS	2036	2.028500431
Fujian	Coal	2016	5.656503333
Fujian	Coal	2021	5.9449953064
Fujian	Coal	2026	6.2489422068
Fujian	Coal	2031	6.5683440344
Fujian	Coal	2036	6.877502858
Fujian	Coal_CCS	2016	5.656503333
Fujian	Coal_CCS	2021	5.9449953064
Fujian	Coal_CCS	2026	6.2489422068
Fujian	Coal_CCS	2031	6.5683440344
Fujian	Coal_CCS	2036	6.877502858
Fujian	DistillateFuelOil	2016	18.804
Fujian	DistillateFuelOil	2021	20.612
Fujian	DistillateFuelOil	2026	21.892
Fujian	DistillateFuelOil	2031	22.568
Fujian	DistillateFuelOil	2036	24.73028897
Fujian	DistillateFuelOil_CCS	2016	18.804
Fujian	DistillateFuelOil_CCS	2021	20.612
Fujian	DistillateFuelOil_CCS	2026	21.892
Fujian	DistillateFuelOil_CCS	2031	22.568
Fujian	DistillateFuelOil_CCS	2036	24.73028897
Fujian	Gas	2016	13.148208292
Fujian	Gas	2021	14.831222524
Fujian	Gas	2026	16.525130052
Fujian	Gas	2031	17.766965796
Fujian	Gas	2036	18.67264782
Fujian	Gas_CCS	2016	13.148208292
Fujian	Gas_CCS	2021	14.831222524
