GENERATION_PROJECT	gen_tech	gen_energy_source	gen_load_zone	gen_max_age	gen_is_variable	gen_is_baseload	gen_full_load_heat_rate	gen_variable_om	gen_connect_cost_per_mw	gen_dbid	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_capacity_limit_mw	gen_min_build_capacity	gen_is_cogen	gen_storage_efficiency	gen_store_to_release_ratio
98	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	98	0	0.02	19824.8139	0	FALSE	0	0
99	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	99	0	0.02	29250.9087	0	FALSE	0	0
100	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	100	0	0.02	12873.4863	0	FALSE	0	0
101	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	101	0	0.02	8400.53697	0	FALSE	0	0
102	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	102	0	0.02	749805.811	0	FALSE	0	0
103	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	103	0	0.02	196459.062	0	FALSE	0	0
104	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	104	0	0.02	160545.366	0	FALSE	0	0
105	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	105	0	0.02	234432.473	0	FALSE	0	0
106	Commercial_PV	Solar	Hebei	20	TRUE	FALSE	.	0	0	106	0	0.02	351675.207	0	FALSE	0	0
107	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	107	0	0.02	344900.628	0	FALSE	0	0
108	Commercial_PV	Solar	Shandong	20	TRUE	FALSE	.	0	0	108	0	0.02	304368.791	0	FALSE	0	0
109	Commercial_PV	Solar	Shanghai	20	TRUE	FALSE	.	0	0	109	0	0.02	169960.264	0	FALSE	0	0
110	Commercial_PV	Solar	Shanxi	20	TRUE	FALSE	.	0	0	110	0	0.02	160875.237	0	FALSE	0	0
111	Commercial_PV	Solar	Shanxi	20	TRUE	FALSE	.	0	0	111	0	0.02	109848.279	0	FALSE	0	0
112	Commercial_PV	Solar	Shanxi	20	TRUE	FALSE	.	0	0	112	0	0.02	160393.717	0	FALSE	0	0
113	Commercial_PV	Solar	Shanxi	20	TRUE	FALSE	.	0	0	113	0	0.02	74091.6658	0	FALSE	0	0
114	Commercial_PV	Solar	Shanxi	20	TRUE	FALSE	.	0	0	114	0	0.02	26249.4224	0	FALSE	0	0
115	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	115	0	0.02	7014.66361	0	FALSE	0	0
116	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	116	0	0.02	7562.59977	0	FALSE	0	0
117	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	117	0	0.02	201400.282	0	FALSE	0	0
118	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	118	0	0.02	44862.4132	0	FALSE	0	0
119	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	119	0	0.02	24962.8954	0	FALSE	0	0
120	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	120	0	0.02	24805.2497	0	FALSE	0	0
121	Commercial_PV	Solar	Sichuan	20	TRUE	FALSE	.	0	0	121	0	0.02	21908.3111	0	FALSE	0	0
122	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	122	0	0.02	98636.6046	0	FALSE	0	0
123	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	123	0	0.02	94923.0296	0	FALSE	0	0
124	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	124	0	0.02	118827.601	0	FALSE	0	0
125	Commercial_PV	Solar	Tianjin	20	TRUE	FALSE	.	0	0	125	0	0.02	224882.435	0	FALSE	0	0
126	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	126	0	0.02	9088.42855	0	FALSE	0	0
127	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	127	0	0.02	3908.93092	0	FALSE	0	0
128	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	128	0	0.02	181.872715	0	FALSE	0	0
129	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	129	0	0.02	1000	0	FALSE	0	0
130	Commercial_PV	Solar	Tibet	20	TRUE	FALSE	.	0	0	130	0	0.02	2215.04572	0	FALSE	0	0
