BLD_YRS_FOR_TX_1	BLD_YRS_FOR_TX_2	BuildTx
26-6	2026	0.0
26-6	2031	0.0
26-6	2036	0.0
26-18	2016	0.0
26-18	2021	0.0
26-18	2026	0.0
26-18	2031	0.0
26-18	2036	0.0
10-11	2016	0.0
10-11	2021	0.0
10-11	2026	0.0
10-11	2031	0.0
10-11	2036	0.0
16-4	2016	0.0
16-4	2021	0.0
16-4	2026	0.0
16-4	2031	0.0
16-4	2036	0.0
16-9	2016	0.0
16-9	2021	0.0
16-9	2026	0.0
16-9	2031	0.0
16-9	2036	0.0
16-15	2016	0.0
16-15	2021	0.0
16-15	2026	0.0
16-15	2031	0.0
16-15	2036	0.0
16-18	2016	0.0
16-18	2021	0.0
16-18	2026	0.0
16-18	2031	0.0
16-18	2036	0.0
6-28	2016	0.0
6-28	2021	0.0
6-28	2026	0.0
6-28	2031	0.0
6-28	2036	0.0
6-4	2016	0.0
6-4	2021	0.0
6-4	2026	0.0
6-4	2031	0.0
6-4	2036	0.0
6-34	2016	0.0
6-34	2021	0.0
6-34	2026	0.0
6-34	2031	0.0
6-34	2036	0.0
6-32	2016	0.0
6-32	2021	0.0
6-32	2026	0.0
6-32	2031	0.0
6-32	2036	0.0
17-15	2016	0.0
17-15	2021	0.0
17-15	2026	0.0
17-15	2031	0.0
17-15	2036	0.0
34-27	2016	0.0
34-27	2021	0.0
34-27	2026	0.0
34-27	2031	0.0
34-27	2036	0.0
34-32	2016	0.0
34-32	2021	0.0
34-32	2026	0.0
34-32	2031	0.0
34-32	2036	0.0
18-5	2016	0.0
18-5	2021	0.0
18-5	2026	0.0
18-5	2031	0.0
18-5	2036	0.0
27-2	2016	0.0
27-2	2021	0.0
27-2	2026	0.0
27-2	2031	0.0
27-2	2036	0.0
27-15	2016	0.0
27-15	2021	0.0
27-15	2026	0.0
27-15	2031	0.0
27-15	2036	0.0
32-28	2016	0.0
32-28	2021	0.0
32-28	2026	0.0
32-28	2031	0.0
32-28	2036	0.0
32-11	2016	0.0
32-11	2021	0.0
32-11	2026	0.0
32-11	2031	0.0
32-11	2036	0.0
