GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
1202	116913	Gas	0.0
1202	116917	Gas	0.0
1202	116921	Gas	0.0
1202	116925	Gas	0.0
1202	161653	Gas	6325.072
1202	251510	Gas	6325.072
1202	161505	Gas	6325.072
1202	251282	Gas	6325.072
1202	206162	Gas	6325.072
1202	251514	Gas	6325.072
1202	206166	Gas	6325.072
1202	161657	Gas	6325.072
1202	70873	Gas	0.0
1202	206170	Gas	6325.072
1202	70877	Gas	0.0
1202	206174	Gas	6325.072
1202	161509	Gas	6325.072
1202	70881	Gas	0.0
1202	206178	Gas	6325.072
1202	70885	Gas	0.0
1202	206182	Gas	6325.072
1202	251518	Gas	6325.072
1202	70889	Gas	0.0
1202	251498	Gas	6325.072
1202	70893	Gas	0.0
1202	251502	Gas	6325.072
1202	161661	Gas	6325.072
1202	116977	Gas	0.0
1202	206450	Gas	6325.072
1202	116981	Gas	0.0
1202	206454	Gas	6325.072
1202	116905	Gas	0.0
1202	116985	Gas	0.0
1202	206458	Gas	6325.072
1202	116989	Gas	0.0
1202	206462	Gas	6325.072
1203	116993	Gas	0.0
1203	206466	Gas	6325.072
1203	161517	Gas	6325.072
1203	116997	Gas	0.0
1203	206470	Gas	6325.072
1203	161645	Gas	6325.072
1203	161513	Gas	6325.072
1203	116909	Gas	0.0
1203	161641	Gas	6325.072
1203	251506	Gas	6325.072
1203	251286	Gas	6325.072
1203	161497	Gas	6325.072
1203	71065	Gas	0.0
1203	251290	Gas	6325.072
1203	71069	Gas	0.0
1203	251294	Gas	6325.072
1203	71073	Gas	0.0
1203	251298	Gas	6325.072
1203	71077	Gas	0.0
1203	251302	Gas	6325.072
1203	161649	Gas	6325.072
1203	71081	Gas	0.0
1203	71085	Gas	0.0
1203	161501	Gas	6325.072
1203	116913	Gas	0.0
1203	116917	Gas	0.0
1203	116921	Gas	0.0
1203	116925	Gas	0.0
1203	161653	Gas	6325.072
1203	251510	Gas	6325.072
1203	161505	Gas	6325.072
1203	251282	Gas	6325.072
1203	206162	Gas	6325.072
1203	251514	Gas	6325.072
1203	206166	Gas	6325.072
1203	161657	Gas	6325.072
1203	70873	Gas	0.0
1203	206170	Gas	6325.072
1203	70877	Gas	0.0
1203	206174	Gas	6325.072
1203	161509	Gas	6325.072
1203	70881	Gas	0.0
1203	206178	Gas	6325.072
1203	70885	Gas	0.0
1203	206182	Gas	6325.072
1203	251518	Gas	6325.072
1203	70889	Gas	0.0
1203	251498	Gas	6325.072
1203	70893	Gas	0.0
1203	251502	Gas	6325.072
1203	161661	Gas	6325.072
1203	116977	Gas	0.0
1203	206450	Gas	6325.072
1203	116981	Gas	0.0
1203	206454	Gas	6325.072
1203	116905	Gas	0.0
1203	116985	Gas	0.0
1203	206458	Gas	6325.072
1203	116989	Gas	0.0
1203	206462	Gas	6325.072
1204	116993	Gas	0.0
1204	206466	Gas	6325.072
1204	161517	Gas	6325.072
1204	116997	Gas	0.0
1204	206470	Gas	6325.072
1204	161645	Gas	6325.072
1204	161513	Gas	6325.072
1204	116909	Gas	0.0
1204	161641	Gas	6325.072
1204	251506	Gas	6325.072
1204	251286	Gas	6325.072
1204	161497	Gas	6325.072
1204	71065	Gas	0.0
1204	251290	Gas	6325.072
1204	71069	Gas	0.0
1204	251294	Gas	6325.072
1204	71073	Gas	0.0
1204	251298	Gas	6325.072
1204	71077	Gas	0.0
1204	251302	Gas	6325.072
1204	161649	Gas	6325.072
1204	71081	Gas	0.0
1204	71085	Gas	0.0
1204	161501	Gas	6325.072
1204	116913	Gas	0.0
1204	116917	Gas	0.0
1204	116921	Gas	0.0
1204	116925	Gas	0.0
1204	161653	Gas	6325.072
1204	251510	Gas	6325.072
1204	161505	Gas	0.0
1204	251282	Gas	6325.072
1204	206162	Gas	6325.072
1204	251514	Gas	6325.072
1204	206166	Gas	6325.072
1204	161657	Gas	6325.072
1204	70873	Gas	0.0
1204	206170	Gas	6325.072
1204	70877	Gas	0.0
1204	206174	Gas	6325.072
1204	161509	Gas	6325.072
1204	70881	Gas	0.0
1204	206178	Gas	6325.072
1204	70885	Gas	0.0
1204	206182	Gas	6325.072
1204	251518	Gas	6325.072
1204	70889	Gas	0.0
1204	251498	Gas	6325.072
1204	70893	Gas	0.0
1204	251502	Gas	6325.072
1204	161661	Gas	6325.072
1204	116977	Gas	0.0
1204	206450	Gas	6325.072
1204	116981	Gas	0.0
1204	206454	Gas	6325.072
1204	116905	Gas	0.0
1204	116985	Gas	0.0
1204	206458	Gas	6325.072
1204	116989	Gas	0.0
1204	206462	Gas	6325.072
1205	116993	Gas	0.0
1205	206466	Gas	6325.072
1205	161517	Gas	6325.072
1205	116997	Gas	0.0
1205	206470	Gas	6325.072
1205	161645	Gas	6325.072
1205	161513	Gas	6325.072
1205	116909	Gas	0.0
1205	161641	Gas	6325.072
1205	251506	Gas	6325.072
1205	251286	Gas	6325.072
1205	161497	Gas	6325.072
1205	71065	Gas	0.0
1205	251290	Gas	6325.072
1205	71069	Gas	0.0
1205	251294	Gas	6325.072
1205	71073	Gas	0.0
1205	251298	Gas	6325.072
1205	71077	Gas	0.0
1205	251302	Gas	6325.072
1205	161649	Gas	6325.072
1205	71081	Gas	0.0
1205	71085	Gas	0.0
1205	161501	Gas	6325.072
1205	116913	Gas	0.0
1205	116917	Gas	0.0
1205	116921	Gas	0.0
1205	116925	Gas	0.0
1205	161653	Gas	6325.072
1205	251510	Gas	6325.072
1205	161505	Gas	6325.072
1205	251282	Gas	6325.072
1205	206162	Gas	6325.072
1205	251514	Gas	6325.072
1205	206166	Gas	6325.072
1205	161657	Gas	6325.072
1205	70873	Gas	0.0
1205	206170	Gas	6325.072
1205	70877	Gas	0.0
1205	206174	Gas	6325.072
1205	161509	Gas	6325.072
1205	70881	Gas	0.0
1205	206178	Gas	6325.072
1205	70885	Gas	0.0
1205	206182	Gas	6325.072
1205	251518	Gas	6325.072
1205	70889	Gas	0.0
1205	251498	Gas	6325.072
1205	70893	Gas	0.0
1205	251502	Gas	6325.072
1205	161661	Gas	6325.072
1205	116977	Gas	0.0
1205	206450	Gas	6325.072
1205	116981	Gas	0.0
