GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
36	2036	Commercial_PV	Hebei	Solar	0	0	0
37	2016	Commercial_PV	Hebei	Solar	0	0	0
37	2021	Commercial_PV	Hebei	Solar	0	0	0
37	2026	Commercial_PV	Hebei	Solar	0	0	0
37	2031	Commercial_PV	Hebei	Solar	0	0	0
37	2036	Commercial_PV	Hebei	Solar	0	0	0
38	2016	Commercial_PV	Hebei	Solar	0	0	0
38	2021	Commercial_PV	Hebei	Solar	0	0	0
38	2026	Commercial_PV	Hebei	Solar	0	0	0
38	2031	Commercial_PV	Hebei	Solar	0	0	0
38	2036	Commercial_PV	Hebei	Solar	0	0	0
39	2016	Commercial_PV	Hebei	Solar	0	0	0
39	2021	Commercial_PV	Hebei	Solar	0	0	0
39	2026	Commercial_PV	Hebei	Solar	0	0	0
39	2031	Commercial_PV	Hebei	Solar	0	0	0
39	2036	Commercial_PV	Hebei	Solar	0	0	0
40	2016	Commercial_PV	Hebei	Solar	0	0	0
40	2021	Commercial_PV	Hebei	Solar	0	0	0
40	2026	Commercial_PV	Hebei	Solar	0	0	0
40	2031	Commercial_PV	Hebei	Solar	0	0	0
40	2036	Commercial_PV	Hebei	Solar	0	0	0
41	2016	Commercial_PV	Heilongjiang	Solar	0	0	0
41	2021	Commercial_PV	Heilongjiang	Solar	0	0	0
41	2026	Commercial_PV	Heilongjiang	Solar	0	0	0
41	2031	Commercial_PV	Heilongjiang	Solar	0	0	0
41	2036	Commercial_PV	Heilongjiang	Solar	0	0	0
42	2016	Commercial_PV	Heilongjiang	Solar	0	0	0
42	2021	Commercial_PV	Heilongjiang	Solar	0	0	0
42	2026	Commercial_PV	Heilongjiang	Solar	0	0	0
42	2031	Commercial_PV	Heilongjiang	Solar	0	0	0
42	2036	Commercial_PV	Heilongjiang	Solar	0	0	0
43	2016	Commercial_PV	Heilongjiang	Solar	0	0	0
43	2021	Commercial_PV	Heilongjiang	Solar	0	0	0
43	2026	Commercial_PV	Heilongjiang	Solar	0	0	0
43	2031	Commercial_PV	Heilongjiang	Solar	0	0	0
43	2036	Commercial_PV	Heilongjiang	Solar	0	0	0
44	2016	Commercial_PV	Heilongjiang	Solar	0	0	0
44	2021	Commercial_PV	Heilongjiang	Solar	0	0	0
44	2026	Commercial_PV	Heilongjiang	Solar	0	0	0
44	2031	Commercial_PV	Heilongjiang	Solar	0	0	0
44	2036	Commercial_PV	Heilongjiang	Solar	0	0	0
45	2016	Commercial_PV	Heilongjiang	Solar	0	0	0
45	2021	Commercial_PV	Heilongjiang	Solar	0	0	0
45	2026	Commercial_PV	Heilongjiang	Solar	0	0	0
45	2031	Commercial_PV	Heilongjiang	Solar	0	0	0
45	2036	Commercial_PV	Heilongjiang	Solar	0	0	0
46	2016	Commercial_PV	Henan	Solar	0	0	0
46	2021	Commercial_PV	Henan	Solar	0	0	0
46	2026	Commercial_PV	Henan	Solar	0	0	0
46	2031	Commercial_PV	Henan	Solar	0	0	0
46	2036	Commercial_PV	Henan	Solar	0	0	0
47	2016	Commercial_PV	Henan	Solar	0	0	0
47	2021	Commercial_PV	Henan	Solar	0	0	0
47	2026	Commercial_PV	Henan	Solar	0	0	0
47	2031	Commercial_PV	Henan	Solar	0	0	0
47	2036	Commercial_PV	Henan	Solar	0	0	0
48	2016	Commercial_PV	Henan	Solar	0	0	0
48	2021	Commercial_PV	Henan	Solar	0	0	0
48	2026	Commercial_PV	Henan	Solar	0	0	0
48	2031	Commercial_PV	Henan	Solar	0	0	0
48	2036	Commercial_PV	Henan	Solar	0	0	0
49	2016	Commercial_PV	Henan	Solar	0	0	0
49	2021	Commercial_PV	Henan	Solar	0	0	0
49	2026	Commercial_PV	Henan	Solar	0	0	0
49	2031	Commercial_PV	Henan	Solar	0	0	0
49	2036	Commercial_PV	Henan	Solar	0	0	0
50	2016	Commercial_PV	Henan	Solar	0	0	0
50	2021	Commercial_PV	Henan	Solar	0	0	0
50	2026	Commercial_PV	Henan	Solar	0	0	0
50	2031	Commercial_PV	Henan	Solar	0	0	0
50	2036	Commercial_PV	Henan	Solar	0	0	0
51	2016	Commercial_PV	Henan	Solar	0	0	0
51	2021	Commercial_PV	Henan	Solar	0	0	0
51	2026	Commercial_PV	Henan	Solar	0	0	0
51	2031	Commercial_PV	Henan	Solar	0	0	0
51	2036	Commercial_PV	Henan	Solar	0	0	0
52	2016	Commercial_PV	Chongqing	Solar	0	0	0
52	2021	Commercial_PV	Chongqing	Solar	0	0	0
52	2026	Commercial_PV	Chongqing	Solar	0	0	0
52	2031	Commercial_PV	Chongqing	Solar	0	0	0
52	2036	Commercial_PV	Chongqing	Solar	0	0	0
53	2016	Commercial_PV	Hubei	Solar	0	0	0
53	2021	Commercial_PV	Hubei	Solar	0	0	0
53	2026	Commercial_PV	Hubei	Solar	0	0	0
53	2031	Commercial_PV	Hubei	Solar	0	0	0
53	2036	Commercial_PV	Hubei	Solar	0	0	0
54	2016	Commercial_PV	Hubei	Solar	0	0	0
54	2021	Commercial_PV	Hubei	Solar	0	0	0
54	2026	Commercial_PV	Hubei	Solar	0	0	0
54	2031	Commercial_PV	Hubei	Solar	0	0	0
54	2036	Commercial_PV	Hubei	Solar	0	0	0
55	2016	Commercial_PV	Hubei	Solar	0	0	0
55	2021	Commercial_PV	Hubei	Solar	0	0	0
55	2026	Commercial_PV	Hubei	Solar	0	0	0
55	2031	Commercial_PV	Hubei	Solar	0	0	0
55	2036	Commercial_PV	Hubei	Solar	0	0	0
56	2016	Commercial_PV	Hubei	Solar	0	0	0
56	2021	Commercial_PV	Hubei	Solar	0	0	0
56	2026	Commercial_PV	Hubei	Solar	0	0	0
56	2031	Commercial_PV	Hubei	Solar	0	0	0
56	2036	Commercial_PV	Hubei	Solar	0	0	0
57	2016	Commercial_PV	Hubei	Solar	0	0	0
57	2021	Commercial_PV	Hubei	Solar	0	0	0
57	2026	Commercial_PV	Hubei	Solar	0	0	0
57	2031	Commercial_PV	Hubei	Solar	0	0	0
57	2036	Commercial_PV	Hubei	Solar	0	0	0
58	2016	Commercial_PV	Hubei	Solar	0	0	0
58	2021	Commercial_PV	Hubei	Solar	0	0	0
58	2026	Commercial_PV	Hubei	Solar	0	0	0
58	2031	Commercial_PV	Hubei	Solar	0	0	0
58	2036	Commercial_PV	Hubei	Solar	0	0	0
59	2016	Commercial_PV	Hunan	Solar	0	0	0
59	2021	Commercial_PV	Hunan	Solar	0	0	0
59	2026	Commercial_PV	Hunan	Solar	0	0	0
59	2031	Commercial_PV	Hunan	Solar	0	0	0
59	2036	Commercial_PV	Hunan	Solar	0	0	0
60	2016	Commercial_PV	Hunan	Solar	0	0	0
60	2021	Commercial_PV	Hunan	Solar	0	0	0
60	2026	Commercial_PV	Hunan	Solar	0	0	0
60	2031	Commercial_PV	Hunan	Solar	0	0	0
60	2036	Commercial_PV	Hunan	Solar	0	0	0
61	2016	Commercial_PV	Hunan	Solar	0	0	0
61	2021	Commercial_PV	Hunan	Solar	0	0	0
61	2026	Commercial_PV	Hunan	Solar	0	0	0
61	2031	Commercial_PV	Hunan	Solar	0	0	0
61	2036	Commercial_PV	Hunan	Solar	0	0	0
62	2016	Commercial_PV	Hunan	Solar	0	0	0
62	2021	Commercial_PV	Hunan	Solar	0	0	0
62	2026	Commercial_PV	Hunan	Solar	0	0	0
62	2031	Commercial_PV	Hunan	Solar	0	0	0
