TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	MaximumDispatchTxSlack
Ningxia	Shandong	116917	0.0
Ningxia	Shandong	116921	0.0
Ningxia	Shandong	116925	0.0
Ningxia	Shandong	116977	0.0
Ningxia	Shandong	116981	0.0
Ningxia	Shandong	116985	0.0
Ningxia	Shandong	116989	0.0
Ningxia	Shandong	116993	0.0
Ningxia	Shandong	116997	0.0
Ningxia	Shandong	161497	0.0
Ningxia	Shandong	161501	0.0
Ningxia	Shandong	161505	0.0
Ningxia	Shandong	161509	0.0
Ningxia	Shandong	161513	0.0
Ningxia	Shandong	161517	0.0
Ningxia	Shandong	161641	0.0
Ningxia	Shandong	161645	0.0
Ningxia	Shandong	161649	0.0
Ningxia	Shandong	161653	0.0
Ningxia	Shandong	161657	0.0
Ningxia	Shandong	161661	0.0
Ningxia	Shandong	206162	0.0
Ningxia	Shandong	206166	0.0
Ningxia	Shandong	206170	0.0
Ningxia	Shandong	206174	0.0
Ningxia	Shandong	206178	0.0
Ningxia	Shandong	206182	0.0
Ningxia	Shandong	206450	0.0
Ningxia	Shandong	206454	0.0
Ningxia	Shandong	206458	0.0
Ningxia	Shandong	206462	0.0
Ningxia	Shandong	206466	0.0
Ningxia	Shandong	206470	0.0
Ningxia	Shandong	251282	0.0
Ningxia	Shandong	251286	0.0
Ningxia	Shandong	251290	0.0
Ningxia	Shandong	251294	0.0
Ningxia	Shandong	251298	0.0
Ningxia	Shandong	251302	0.0
Ningxia	Shandong	251498	0.0
Ningxia	Shandong	251502	0.0
Ningxia	Shandong	251506	0.0
Ningxia	Shandong	251510	0.0
Ningxia	Shandong	251514	0.0
Ningxia	Shandong	251518	0.0
Yunnan	Guangdong	70873	0.0
Yunnan	Guangdong	70877	0.0
Yunnan	Guangdong	70881	0.0
Yunnan	Guangdong	70885	0.0
Yunnan	Guangdong	70889	0.0
Yunnan	Guangdong	70893	0.0
Yunnan	Guangdong	71065	0.0
Yunnan	Guangdong	71069	0.0
Yunnan	Guangdong	71073	0.0
Yunnan	Guangdong	71077	0.0
Yunnan	Guangdong	71081	0.0
Yunnan	Guangdong	71085	0.0
Yunnan	Guangdong	116905	0.0
Yunnan	Guangdong	116909	0.0
Yunnan	Guangdong	116913	0.0
