TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTx
Jiangsu	East_Inner_Mongolia	70877	0.0
Jiangsu	East_Inner_Mongolia	70881	0.0
Jiangsu	East_Inner_Mongolia	70885	0.0
Jiangsu	East_Inner_Mongolia	70889	0.0
Jiangsu	East_Inner_Mongolia	70893	0.0
Jiangsu	East_Inner_Mongolia	71065	0.0
Jiangsu	East_Inner_Mongolia	71069	0.0
Jiangsu	East_Inner_Mongolia	71073	0.0
Jiangsu	East_Inner_Mongolia	71077	0.0
Jiangsu	East_Inner_Mongolia	71081	0.0
Jiangsu	East_Inner_Mongolia	71085	0.0
Jiangsu	East_Inner_Mongolia	116905	0.0
Jiangsu	East_Inner_Mongolia	116909	0.0
Jiangsu	East_Inner_Mongolia	116913	0.0
Jiangsu	East_Inner_Mongolia	116917	0.0
Jiangsu	East_Inner_Mongolia	116921	0.0
Jiangsu	East_Inner_Mongolia	116925	0.0
Jiangsu	East_Inner_Mongolia	116977	0.0
Jiangsu	East_Inner_Mongolia	116981	0.0
Jiangsu	East_Inner_Mongolia	116985	0.0
Jiangsu	East_Inner_Mongolia	116989	0.0
Jiangsu	East_Inner_Mongolia	116993	0.0
Jiangsu	East_Inner_Mongolia	116997	0.0
Jiangsu	East_Inner_Mongolia	161497	0.0
Jiangsu	East_Inner_Mongolia	161501	0.0
Jiangsu	East_Inner_Mongolia	161505	0.0
Jiangsu	East_Inner_Mongolia	161509	0.0
Jiangsu	East_Inner_Mongolia	161513	0.0
Jiangsu	East_Inner_Mongolia	161517	0.0
Jiangsu	East_Inner_Mongolia	161641	0.0
Jiangsu	East_Inner_Mongolia	161645	0.0
Jiangsu	East_Inner_Mongolia	161649	0.0
Jiangsu	East_Inner_Mongolia	161653	0.0
Jiangsu	East_Inner_Mongolia	161657	0.0
Jiangsu	East_Inner_Mongolia	161661	0.0
Jiangsu	East_Inner_Mongolia	206162	0.0
Jiangsu	East_Inner_Mongolia	206166	0.0
Jiangsu	East_Inner_Mongolia	206170	0.0
Jiangsu	East_Inner_Mongolia	206174	0.0
Jiangsu	East_Inner_Mongolia	206178	0.0
Jiangsu	East_Inner_Mongolia	206182	0.0
Jiangsu	East_Inner_Mongolia	206450	0.0
Jiangsu	East_Inner_Mongolia	206454	0.0
Jiangsu	East_Inner_Mongolia	206458	0.0
Jiangsu	East_Inner_Mongolia	206462	0.0
Jiangsu	East_Inner_Mongolia	206466	0.0
Jiangsu	East_Inner_Mongolia	206470	0.0
Jiangsu	East_Inner_Mongolia	251282	527.6601015965662
Jiangsu	East_Inner_Mongolia	251286	0.0
Jiangsu	East_Inner_Mongolia	251290	0.0
Jiangsu	East_Inner_Mongolia	251294	7200.0
Jiangsu	East_Inner_Mongolia	251298	4576.504305917897
Jiangsu	East_Inner_Mongolia	251302	7200.0
Jiangsu	East_Inner_Mongolia	251498	0.0
Jiangsu	East_Inner_Mongolia	251502	0.0
Jiangsu	East_Inner_Mongolia	251506	0.0
Jiangsu	East_Inner_Mongolia	251510	0.0
Jiangsu	East_Inner_Mongolia	251514	0.0
Jiangsu	East_Inner_Mongolia	251518	0.0
West_Inner_Mongolia	Jiangxi	70873	0.0
West_Inner_Mongolia	Jiangxi	70877	0.0
West_Inner_Mongolia	Jiangxi	70881	0.0
West_Inner_Mongolia	Jiangxi	70885	0.0
West_Inner_Mongolia	Jiangxi	70889	0.0
West_Inner_Mongolia	Jiangxi	70893	0.0
West_Inner_Mongolia	Jiangxi	71065	0.0
West_Inner_Mongolia	Jiangxi	71069	0.0
West_Inner_Mongolia	Jiangxi	71073	0.0
West_Inner_Mongolia	Jiangxi	71077	0.0
West_Inner_Mongolia	Jiangxi	71081	0.0
West_Inner_Mongolia	Jiangxi	71085	0.0
West_Inner_Mongolia	Jiangxi	116905	0.0
West_Inner_Mongolia	Jiangxi	116909	0.0
West_Inner_Mongolia	Jiangxi	116913	0.0
West_Inner_Mongolia	Jiangxi	116917	0.0
West_Inner_Mongolia	Jiangxi	116921	0.0
West_Inner_Mongolia	Jiangxi	116925	0.0
West_Inner_Mongolia	Jiangxi	116977	0.0
West_Inner_Mongolia	Jiangxi	116981	0.0
West_Inner_Mongolia	Jiangxi	116985	0.0
West_Inner_Mongolia	Jiangxi	116989	0.0
West_Inner_Mongolia	Jiangxi	116993	0.0
West_Inner_Mongolia	Jiangxi	116997	0.0
West_Inner_Mongolia	Jiangxi	161497	0.0
West_Inner_Mongolia	Jiangxi	161501	0.0
West_Inner_Mongolia	Jiangxi	161505	0.0
