GEN_TPS_1	GEN_TPS_2	DispatchGen
C-Central_PV-2	4	0.0
C-Central_PV-2	5	0.0
C-Central_PV-2	6	0.0
C-Central_PV-2	7	0.0
C-Wind-1	1	0.0
C-Wind-1	2	0.0
C-Wind-1	3	0.0
C-Wind-1	4	0.0
C-Wind-1	5	0.0
C-Wind-1	6	0.0
C-Wind-1	7	3.1808
C-Wind-2	1	0.0
C-Wind-2	2	0.0
C-Wind-2	3	0.0
C-Wind-2	4	0.0
C-Wind-2	5	0.0
C-Wind-2	6	0.0
C-Wind-2	7	2.56452
S-Geothermal	1	2.90574225
S-Geothermal	2	2.90574225
S-Geothermal	3	2.90574225
S-Geothermal	4	2.90574225
S-Geothermal	5	2.90574225
S-Geothermal	6	2.90574225
S-Geothermal	7	2.90574225
S-NG_CC	1	4.1274794954147875
S-NG_CC	2	4.486021213569167
S-NG_CC	3	3.958038109028512
S-NG_CC	4	4.69721445538543
S-NG_CC	5	4.699999999999999
S-NG_CC	6	4.699999999999999
S-NG_CC	7	0.0
S-NG_CC_CCS	1	0.0
S-NG_CC_CCS	2	0.0
S-NG_CC_CCS	3	0.0
S-NG_CC_CCS	4	0.0
S-NG_CC_CCS	5	0.0
S-NG_CC_CCS	6	0.0
S-NG_CC_CCS	7	0.0
S-NG_GT	1	0.0
S-NG_GT	2	0.0
S-NG_GT	3	0.0
S-NG_GT	4	0.0
S-NG_GT	5	0.0
S-NG_GT	6	1.3768973443714816
S-NG_GT	7	0.0
S-Biomass_IGCC	1	0.0
S-Biomass_IGCC	2	0.0
S-Biomass_IGCC	3	0.0
S-Biomass_IGCC	4	0.0
S-Biomass_IGCC	5	0.0
S-Biomass_IGCC	6	0.0
S-Biomass_IGCC	7	0.0
S-Biomass_IGCC_CCS	1	0.0
S-Biomass_IGCC_CCS	2	0.0
S-Biomass_IGCC_CCS	3	0.0
S-Biomass_IGCC_CCS	4	0.0
S-Biomass_IGCC_CCS	5	0.0
S-Biomass_IGCC_CCS	6	0.0
S-Biomass_IGCC_CCS	7	0.0
S-Residential_PV	1	0.0
S-Residential_PV	2	0.0
S-Residential_PV	3	0.0
S-Residential_PV	4	0.0
S-Residential_PV	5	0.0
S-Residential_PV	6	0.0
S-Residential_PV	7	0.0
S-Commercial_PV	1	0.0
S-Commercial_PV	2	0.0
S-Commercial_PV	3	0.0
S-Commercial_PV	4	0.0
S-Commercial_PV	5	0.0
S-Commercial_PV	6	0.0
S-Commercial_PV	7	0.0
S-Central_PV-1	1	0.0
S-Central_PV-1	2	0.0
S-Central_PV-1	3	0.0
S-Central_PV-1	4	0.0
S-Central_PV-1	5	0.0
S-Central_PV-1	6	0.0
S-Central_PV-1	7	0.0
S-Central_PV-2	1	0.0
S-Central_PV-2	2	0.0
S-Central_PV-2	3	0.0
S-Central_PV-2	4	0.0
S-Central_PV-2	5	0.0
S-Central_PV-2	6	0.0
S-Central_PV-2	7	0.0
